Result,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature
1,-7.704281445733862,-17.757662872769984,16.371103487514095,25.90385484776935,45.47096978948274,22.599131190137356,-23.491846613057366,-21.28393148513409,-13.328430758297117,-35.78277240687666
0,-34.59553362230151,5.672812789234372,-2.571716225313514,-3.029064259496217,-33.6601590323593,38.15140356104671,-29.552422151553547,25.972121057275555,-38.2377274952338,-22.36149788352092
0,14.517447629251013,36.23871534967756,-13.516191276305968,5.656080580396683,29.438823389361968,-14.06491177599911,24.856089667961044,42.8468213926165,31.1969524001663,49.43415920146268
0,-25.799254968294903,7.118331563342483,37.06470941457586,37.80011553144219,46.89670166393891,-34.72882639693671,24.483546552812097,-19.79675936982559,-12.389577722141066,4.067892817651019
0,-19.1093813878365,15.568063471041338,37.053940039653256,5.35217559703468,-49.883496267327644,11.78821418746936,-36.179955817481236,-48.02055889938249,6.331448910122162,8.764310973233924
0,-5.561991366678121,18.267012341791123,35.742771436243245,5.4778231208244215,-10.057019863387717,1.5672793036331845,24.684557358563662,-26.590475335474483,22.487532011829224,37.05672706523485
0,-27.278073354022304,-26.852605534708086,34.7057975142688,-24.67825186710304,-16.082074246104618,21.34555174272138,19.905897288012685,-24.143184297948363,-16.527464693468286,-9.588339868899498
0,5.080446618410372,26.907469394605542,24.452297606006134,-15.26248318722968,-13.254939433248648,12.343105917957352,-8.661928157074616,29.182745261324083,34.89054583474,19.987441027940335
1,-48.30157172202211,-44.023634234287144,20.502077707336277,24.509831811218007,11.597699108040171,24.471851261729228,22.689526738335587,-35.01310603499947,-18.33589538677467,-49.34275381514461
0,-11.110052342539934,49.64861502122939,-19.735586463531885,9.382369378499877,20.82693920375097,-21.811868733813366,-15.3895880182088,-3.5640327811306993,-0.14559936869716905,-33.88660798454958
1,-8.965313153082244,-35.57581270366409,1.8801199188897,46.32635972890241,-40.55644150922911,48.86555937931042,-12.435167006739922,-31.508583674921773,46.233129740866744,-38.33674499108633
